,eval_time,stop_reason,asteroids_hit,deaths,accuracy,mean_eval_time
0,7.019,StopReason.no_ships,[29],[3],[0.5306122448979592],[1.2098316295433695]
1,2.562,StopReason.no_ships,[16],[3],[0.52],[0.15769849594309218]
2,1.167,StopReason.no_ships,[6],[3],[0.42857142857142855],[0.057667751511017384]
3,0.301,StopReason.no_ships,[6],[3],[1.0],[0.01685229999566218]
4,5.2,StopReason.no_ships,[34],[3],[0.62],[0.3118111836141241]
5,3.053,StopReason.no_ships,[21],[3],[0.6666666666666666],[0.2192198291992876]
6,7.75,StopReason.no_ships,[30],[3],[0.9],[0.4956735465104588]
7,7.034,StopReason.no_ships,[49],[3],[0.71875],[0.4630444298428441]
8,9.496,StopReason.no_ships,[27],[3],[0.38095238095238093],[0.6458713461180576]
9,13.839,StopReason.no_ships,[56],[3],[0.6091954022988506],[1.887920100767983]
10,6.314,StopReason.no_ships,[18],[3],[0.32608695652173914],[0.4188969021441114]
11,4.053,StopReason.no_ships,[17],[3],[0.4375],[0.2735590160014343]
12,1.208,StopReason.no_ships,[12],[3],[0.75],[0.07300827647443786]
13,6.247,StopReason.no_ships,[47],[3],[0.4090909090909091],[0.3896003107996138]
14,8.505,StopReason.no_ships,[43],[3],[0.47619047619047616],[0.5442674392776271]
15,6.925,StopReason.no_ships,[20],[3],[0.2786885245901639],[0.44689061413554576]
16,6.756,StopReason.no_ships,[25],[3],[0.3283582089552239],[0.45183870449545793]
17,2.674,StopReason.no_ships,[9],[3],[0.5],[0.17100404358214477]
18,6.682,StopReason.no_ships,[34],[3],[0.6326530612244898],[0.5440183657916542]
19,6.798,StopReason.no_ships,[36],[3],[0.55],[1.074040998925628]
