episode,total_episodes,scenario,reward,hits,deaths,steps,std,log_std_0,log_std_1,entropy,ratio,total_loss,policy_loss,value_loss,skipped,ppo_update_count,pool_episodes,adv_std_spread,learning_rate,policy_frozen,det_train_avg,det_all_avg,det_total_hits,det_total_deaths,best_reward_so_far
1,1000,stock,222.501145,34,3,204,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
2,1000,stock,230.260711,35,3,188,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
3,1000,stock,345.413213,52,3,306,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
4,1000,stock,233.842430,36,3,283,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
5,1000,donut_ring,505.969797,76,1,1801,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
6,1000,donut_ring,479.126599,72,0,1801,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
7,1000,vertical_wall_left,268.432060,41,3,347,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
8,1000,stock,303.475008,46,3,315,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
9,1000,donut_ring,537.505973,81,0,1801,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
10,1000,donut_ring,495.973846,74,0,1801,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
11,1000,stock,243.426121,37,3,211,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
12,1000,vertical_wall_left,297.216848,45,3,510,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
13,1000,vertical_wall_left,240.686645,37,3,571,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
14,1000,vertical_wall_left,103.939208,17,3,241,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
15,1000,donut_ring,432.066360,65,0,1801,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
16,1000,stock,192.291017,30,3,277,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
17,1000,stock,346.661756,52,3,275,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
18,1000,stock,244.083102,37,3,190,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
19,1000,vertical_wall_left,374.473983,56,3,459,0.271860,-1.302470,-1.302470,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,265.102571
