episode,total_episodes,scenario,reward,hits,deaths,steps,std,log_std_0,log_std_1,entropy,ratio,total_loss,policy_loss,value_loss,skipped,ppo_update_count,pool_episodes,adv_std_spread,learning_rate,policy_frozen,det_train_avg,det_all_avg,det_total_hits,det_total_deaths,best_reward_so_far
1,1000,asteroid_rain,166.746226,26,3,169,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,243.153637
2,1000,asteroid_rain,69.488845,12,3,133,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,243.153637
3,1000,asteroid_rain,55.514344,10,3,136,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,243.153637
4,1000,crossing_lanes,207.727073,36,9,279,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,243.153637
5,1000,spiral_arms,282.781709,43,3,293,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,243.153637
6,1000,asteroid_rain,206.569368,32,3,293,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,243.153637
7,1000,vertical_wall_left,312.456392,47,3,367,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,243.153637
8,1000,stock,254.950424,39,3,292,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,243.153637
9,1000,spiral_arms,229.215922,35,3,171,0.358473,-1.025901,-1.025901,0.837877,1.000006,14.931605,-0.027282,14.967266,0,1,9,3.695204,0.0000500000,0,,,,,243.153637
10,1000,crossing_lanes,212.961203,37,9,349,0.358473,-1.025901,-1.025901,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000500000,0,,,,,243.153637
11,1000,crossing_lanes,576.006643,90,9,930,0.358473,-1.025901,-1.025901,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000500000,0,,,,,243.153637
12,1000,asteroid_rain,170.634447,27,3,301,0.358473,-1.025901,-1.025901,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000500000,0,,,,,243.153637
13,1000,asteroid_rain,185.879256,29,3,288,0.358473,-1.025901,-1.025901,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000500000,0,,,,,243.153637
14,1000,vertical_wall_left,170.632552,27,3,436,0.358473,-1.025901,-1.025901,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000500000,0,,,,,243.153637
15,1000,asteroid_rain,82.683741,14,3,149,0.358473,-1.025901,-1.025901,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000500000,0,,,,,243.153637
16,1000,asteroid_rain,430.098288,65,3,725,0.358473,-1.025901,-1.025901,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000500000,0,,,,,243.153637
17,1000,spiral_arms,165.949576,26,3,159,0.351260,-1.046227,-1.046227,0.786076,1.000074,6.249191,0.084611,6.172441,0,2,8,3.074432,0.0000500000,0,,,,,243.153637
18,1000,crossing_lanes,502.274903,79,9,666,0.351260,-1.046227,-1.046227,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000500000,0,,,,,243.153637
19,1000,donut_ring,396.630730,61,0,1801,0.351260,-1.046227,-1.046227,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000500000,0,,,,,243.153637
20,1000,spiral_arms,118.708666,19,3,92,0.351260,-1.046227,-1.046227,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000500000,0,225.767760,207.813626,269,21,243.153637
21,1000,asteroid_rain,291.282255,44,3,321,0.351260,-1.046227,-1.046227,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000500000,0,,,,,243.153637
22,1000,four_corner,380.116433,58,0,2101,0.351260,-1.046227,-1.046227,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000500000,0,,,,,243.153637
23,1000,asteroid_rain,298.520544,45,3,278,0.345635,-1.062373,-1.062373,0.745422,1.000008,7.784479,0.072697,7.719236,0,3,6,2.220783,0.0000500000,0,,,,,243.153637
24,1000,vertical_wall_left,150.793622,24,3,297,0.345635,-1.062373,-1.062373,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000500000,0,,,,,243.153637
25,1000,asteroid_rain,82.902873,14,3,150,0.345635,-1.062373,-1.062373,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000500000,0,,,,,243.153637
26,1000,donut_ring,489.344138,73,0,1801,0.345635,-1.062373,-1.062373,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000500000,0,,,,,243.153637
27,1000,crossing_lanes,557.093433,87,9,789,0.345635,-1.062373,-1.062373,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000500000,0,,,,,243.153637
28,1000,asteroid_rain,220.488543,34,3,285,0.345635,-1.062373,-1.062373,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000500000,0,,,,,243.153637
29,1000,spiral_arms,105.866621,17,3,46,0.345635,-1.062373,-1.062373,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000500000,0,,,,,243.153637
30,1000,crossing_lanes,462.632739,73,9,662,0.341167,-1.075384,-1.075384,0.713130,0.999992,4.713873,0.119794,4.601210,0,4,7,3.211003,0.0000500000,0,,,,,243.153637
31,1000,vertical_wall_left,158.167649,25,3,315,0.341167,-1.075384,-1.075384,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000500000,0,,,,,243.153637
