episode,total_episodes,scenario,reward,hits,deaths,steps,std,log_std_0,log_std_1,entropy,ratio,total_loss,policy_loss,value_loss,skipped,ppo_update_count,pool_episodes,adv_std_spread,learning_rate,policy_frozen,det_train_avg,det_all_avg,det_total_hits,det_total_deaths,best_reward_so_far
1,500,asteroid_rain,392.252867,59,3,578,0.217294,-1.526506,-1.526506,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,310.982271
2,500,asteroid_rain,62.390322,11,3,131,0.217294,-1.526506,-1.526506,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,310.982271
3,500,asteroid_rain,41.259885,8,3,132,0.217294,-1.526506,-1.526506,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,310.982271
4,500,asteroid_rain,282.082284,43,3,405,0.217294,-1.526506,-1.526506,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,310.982271
5,500,asteroid_rain,206.720140,32,3,301,0.217294,-1.526506,-1.526506,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,310.982271
6,500,spiral_arms,256.498108,39,3,174,0.217294,-1.526506,-1.526506,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,310.982271
7,500,crossing_lanes,602.214072,93,9,646,0.217294,-1.526506,-1.526506,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,310.982271
8,500,crossing_lanes,621.055783,96,9,754,0.241307,-1.421687,-1.421687,-0.215135,1.000023,4.455355,0.178194,4.275009,0,1,8,6.966135,0.0000500000,0,,,,,310.982271
9,500,asteroid_rain,55.478533,10,3,132,0.241307,-1.421687,-1.421687,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000500000,0,,,,,310.982271
10,500,spiral_arms,236.181393,36,3,178,0.241307,-1.421687,-1.421687,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000250000,0,337.731768,278.222988,353,22,337.731768
11,500,asteroid_rain,521.617351,78,3,873,0.241307,-1.421687,-1.421687,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000250000,0,,,,,337.731768
12,500,asteroid_rain,283.257175,43,3,303,0.241307,-1.421687,-1.421687,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000250000,0,,,,,337.731768
13,500,spiral_arms,318.871198,48,3,199,0.241307,-1.421687,-1.421687,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000250000,0,,,,,337.731768
14,500,crossing_lanes,925.557101,141,9,1459,0.241307,-1.421687,-1.421687,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000250000,0,,,,,337.731768
15,500,asteroid_rain,69.312245,12,3,144,0.241307,-1.421687,-1.421687,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000250000,0,,,,,337.731768
16,500,asteroid_rain,146.301109,23,3,146,0.260571,-1.344879,-1.344879,-0.005496,1.000007,8.659795,0.120033,8.539707,0,2,8,5.620593,0.0000250000,0,,,,,337.731768
17,500,asteroid_rain,235.029191,36,3,313,0.260571,-1.344879,-1.344879,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000250000,0,,,,,337.731768
18,500,crossing_lanes,561.984514,87,9,616,0.260571,-1.344879,-1.344879,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000250000,0,,,,,337.731768
19,500,crossing_lanes,558.416345,87,9,687,0.260571,-1.344879,-1.344879,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000250000,0,,,,,337.731768
20,500,spiral_arms,454.809053,68,3,407,0.260571,-1.344879,-1.344879,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000250000,0,271.635140,279.293758,354,22,337.731768
21,500,crossing_lanes,592.131547,92,9,803,0.260571,-1.344879,-1.344879,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000250000,0,,,,,337.731768
22,500,crossing_lanes,909.810694,139,9,1864,0.275524,-1.289081,-1.289081,0.148118,1.000061,1.869637,0.195369,1.675750,0,3,6,1.747336,0.0000250000,0,,,,,337.731768
23,500,spiral_arms,221.626938,34,3,169,0.275524,-1.289081,-1.289081,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000250000,0,,,,,337.731768
24,500,crossing_lanes,693.661913,107,9,1041,0.275524,-1.289081,-1.289081,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000250000,0,,,,,337.731768
25,500,asteroid_rain,62.188696,11,3,139,0.275524,-1.289081,-1.289081,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000250000,0,,,,,337.731768
26,500,crossing_lanes,311.581346,51,9,368,0.275524,-1.289081,-1.289081,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000250000,0,,,,,337.731768
27,500,spiral_arms,161.118818,25,3,74,0.275524,-1.289081,-1.289081,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000250000,0,,,,,337.731768
28,500,crossing_lanes,235.649098,40,9,313,0.275524,-1.289081,-1.289081,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000250000,0,,,,,337.731768
29,500,crossing_lanes,291.972128,48,9,306,0.275524,-1.289081,-1.289081,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000250000,0,,,,,337.731768
30,500,crossing_lanes,250.040808,42,9,279,0.286780,-1.249040,-1.249040,0.259715,0.999971,6.196179,0.200460,5.998315,0,4,8,4.529278,0.0000500000,0,276.393847,273.356606,347,22,337.731768
31,500,spiral_arms,118.644411,19,3,95,0.286780,-1.249040,-1.249040,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000500000,0,,,,,337.731768
32,500,asteroid_rain,61.407024,11,3,166,0.286780,-1.249040,-1.249040,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000500000,0,,,,,337.731768
33,500,spiral_arms,242.934915,37,3,171,0.286780,-1.249040,-1.249040,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000500000,0,,,,,337.731768
34,500,asteroid_rain,34.419095,7,3,131,0.286780,-1.249040,-1.249040,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000500000,0,,,,,337.731768
35,500,spiral_arms,215.057513,33,3,158,0.286780,-1.249040,-1.249040,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000500000,0,,,,,337.731768
36,500,crossing_lanes,372.953155,60,9,524,0.286780,-1.249040,-1.249040,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000500000,0,,,,,337.731768
37,500,crossing_lanes,722.845258,111,9,911,0.286780,-1.249040,-1.249040,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000500000,0,,,,,337.731768
38,500,spiral_arms,180.284296,28,3,150,0.286780,-1.249040,-1.249040,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000500000,0,,,,,337.731768
39,500,spiral_arms,118.875055,19,3,85,0.286780,-1.249040,-1.249040,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000500000,0,,,,,337.731768
40,500,spiral_arms,291.397811,44,3,190,0.294989,-1.220816,-1.220816,0.339797,1.000069,12.455647,0.075855,12.383189,0,5,10,8.864423,0.0000500000,0,326.258719,270.367803,343,22,337.731768
41,500,crossing_lanes,939.444496,143,9,1650,0.294989,-1.220816,-1.220816,0.000000,1.000000,0.000000,0.000000,0.000000,0,5,0,0.000000,0.0000500000,0,,,,,337.731768
42,500,asteroid_rain,45.671560,9,3,271,0.294989,-1.220816,-1.220816,0.000000,1.000000,0.000000,0.000000,0.000000,0,5,0,0.000000,0.0000500000,0,,,,,337.731768
43,500,spiral_arms,132.840219,21,3,85,0.294989,-1.220816,-1.220816,0.000000,1.000000,0.000000,0.000000,0.000000,0,5,0,0.000000,0.0000500000,0,,,,,337.731768
44,500,spiral_arms,605.971614,90,3,554,0.294989,-1.220816,-1.220816,0.000000,1.000000,0.000000,0.000000,0.000000,0,5,0,0.000000,0.0000500000,0,,,,,337.731768
45,500,crossing_lanes,318.393246,52,9,403,0.294989,-1.220816,-1.220816,0.000000,1.000000,0.000000,0.000000,0.000000,0,5,0,0.000000,0.0000500000,0,,,,,337.731768
