episode,total_episodes,scenario,reward,hits,deaths,steps,std,log_std_0,log_std_1,entropy,ratio,total_loss,policy_loss,value_loss,skipped,ppo_update_count,pool_episodes,adv_std_spread,learning_rate,policy_frozen,det_train_avg,det_all_avg,det_total_hits,det_total_deaths,best_reward_so_far
1,5000,spiral_arms,117.122455,19,3,146,0.326464,-1.119435,-1.119435,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,359.886988
2,5000,vertical_wall_left,353.395219,53,3,425,0.326464,-1.119435,-1.119435,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,359.886988
3,5000,asteroid_rain,55.367605,10,3,131,0.326464,-1.119435,-1.119435,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,359.886988
4,5000,stock,248.857292,38,3,258,0.326464,-1.119435,-1.119435,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,359.886988
5,5000,vertical_wall_left,469.130795,70,3,679,0.326464,-1.119435,-1.119435,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,359.886988
6,5000,vertical_wall_left,296.360857,45,3,498,0.326464,-1.119435,-1.119435,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,359.886988
7,5000,asteroid_rain,248.590936,38,3,309,0.327995,-1.114756,-1.114756,0.599007,1.000117,5.516725,0.149293,5.373422,0,1,7,4.030613,0.0000500000,0,,,,,359.886988
8,5000,four_corner,351.816214,56,1,2101,0.327995,-1.114756,-1.114756,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000500000,0,,,,,359.886988
9,5000,stock,296.629432,45,3,284,0.327995,-1.114756,-1.114756,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000500000,0,,,,,359.886988
10,5000,asteroid_rain,252.966187,39,3,406,0.327995,-1.114756,-1.114756,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000500000,0,334.928973,291.973347,367,21,359.886988
11,5000,crossing_lanes,635.239944,98,9,759,0.327995,-1.114756,-1.114756,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000500000,0,,,,,359.886988
12,5000,asteroid_rain,55.378737,10,3,132,0.327995,-1.114756,-1.114756,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000500000,0,,,,,359.886988
13,5000,four_corner,328.700613,50,3,983,0.327995,-1.114756,-1.114756,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000500000,0,,,,,359.886988
14,5000,donut_ring,346.272459,53,0,1801,0.329089,-1.111427,-1.111427,0.608364,1.000108,1.413557,0.187745,1.231895,0,2,7,5.241309,0.0000500000,0,,,,,359.886988
15,5000,asteroid_rain,69.352243,12,3,135,0.329089,-1.111427,-1.111427,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000500000,0,,,,,359.886988
16,5000,spiral_arms,200.728054,31,3,169,0.329089,-1.111427,-1.111427,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000500000,0,,,,,359.886988
