episode,total_episodes,scenario,reward,hits,deaths,steps,std,log_std_0,log_std_1,entropy,ratio,total_loss,policy_loss,value_loss,skipped,ppo_update_count,pool_episodes,adv_std_spread,learning_rate,policy_frozen,det_train_avg,det_all_avg,det_total_hits,det_total_deaths,best_reward_so_far
1,5000,donut_ring,624.461035,91,0,1801,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,-inf
2,5000,stock,239.129010,36,3,181,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,-inf
3,5000,donut_ring,449.235178,66,0,1801,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,-inf
4,5000,donut_ring,377.622995,56,0,1801,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,-inf
5,5000,asteroid_rain,50.378666,9,3,130,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,-inf
6,5000,stock,182.420554,28,3,246,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,-inf
7,5000,asteroid_rain,50.411743,9,3,134,0.367879,-1.000000,-1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.0000500000,0,,,,,-inf
8,5000,vertical_wall_left,267.105513,40,3,272,0.358732,-1.025180,-1.025180,0.837877,0.999882,7.216878,0.066365,7.158892,0,1,8,4.197088,0.0000500000,0,,,,,-inf
9,5000,four_corner,527.647742,77,1,2101,0.358732,-1.025180,-1.025180,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000500000,0,,,,,-inf
10,5000,four_corner,254.600370,39,3,863,0.358732,-1.025180,-1.025180,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000250000,0,291.560199,299.390636,362,21,291.560199
11,5000,spiral_arms,127.561615,20,3,85,0.358732,-1.025180,-1.025180,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000250000,0,,,,,291.560199
12,5000,stock,196.697248,30,3,255,0.358732,-1.025180,-1.025180,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000250000,0,,,,,291.560199
13,5000,stock,343.531213,51,3,281,0.358732,-1.025180,-1.025180,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000250000,0,,,,,291.560199
14,5000,donut_ring,569.016802,83,0,1801,0.358732,-1.025180,-1.025180,0.000000,1.000000,0.000000,0.000000,0.000000,0,1,0,0.000000,0.0000250000,0,,,,,291.560199
15,5000,four_corner,518.839937,76,2,2101,0.351957,-1.044245,-1.044245,0.787517,0.999982,5.970791,0.104041,5.874626,0,2,7,2.221493,0.0000250000,0,,,,,291.560199
16,5000,spiral_arms,127.508196,20,3,89,0.351957,-1.044245,-1.044245,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000250000,0,,,,,291.560199
17,5000,vertical_wall_left,149.115609,23,3,140,0.351957,-1.044245,-1.044245,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000250000,0,,,,,291.560199
18,5000,four_corner,387.585915,56,0,2101,0.351957,-1.044245,-1.044245,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000250000,0,,,,,291.560199
19,5000,crossing_lanes,798.416877,120,9,1078,0.351957,-1.044245,-1.044245,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000250000,0,,,,,291.560199
20,5000,stock,287.944459,43,3,252,0.351957,-1.044245,-1.044245,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000250000,0,283.125687,288.680671,352,24,291.560199
21,5000,donut_ring,324.387891,49,3,1049,0.351957,-1.044245,-1.044245,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000250000,0,,,,,291.560199
22,5000,spiral_arms,162.481797,25,3,75,0.351957,-1.044245,-1.044245,0.000000,1.000000,0.000000,0.000000,0.000000,0,2,0,0.000000,0.0000250000,0,,,,,291.560199
23,5000,stock,343.540693,51,3,276,0.346898,-1.058724,-1.058724,0.749387,1.000081,8.713081,0.114854,8.605721,0,3,8,2.847255,0.0000250000,0,,,,,291.560199
24,5000,four_corner,350.119161,51,1,2101,0.346898,-1.058724,-1.058724,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000250000,0,,,,,291.560199
25,5000,spiral_arms,302.030811,45,3,200,0.346898,-1.058724,-1.058724,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000250000,0,,,,,291.560199
26,5000,crossing_lanes,631.488476,96,9,774,0.346898,-1.058724,-1.058724,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000250000,0,,,,,291.560199
27,5000,spiral_arms,113.515907,18,3,93,0.346898,-1.058724,-1.058724,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000250000,0,,,,,291.560199
28,5000,donut_ring,490.068438,72,1,1801,0.346898,-1.058724,-1.058724,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000250000,0,,,,,291.560199
29,5000,donut_ring,608.444115,89,0,1801,0.346898,-1.058724,-1.058724,0.000000,1.000000,0.000000,0.000000,0.000000,0,3,0,0.000000,0.0000250000,0,,,,,291.560199
30,5000,four_corner,577.498592,84,2,2101,0.343090,-1.069763,-1.069763,0.720429,1.000001,4.402672,0.124129,4.285747,0,4,7,2.936011,0.0000250000,0,331.292966,354.354719,429,24,331.292966
31,5000,crossing_lanes,284.631242,46,9,382,0.343090,-1.069763,-1.069763,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000250000,0,,,,,331.292966
32,5000,asteroid_rain,57.299554,10,3,134,0.343090,-1.069763,-1.069763,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000250000,0,,,,,331.292966
33,5000,vertical_wall_left,149.179275,23,3,152,0.343090,-1.069763,-1.069763,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000250000,0,,,,,331.292966
34,5000,four_corner,273.085612,41,1,2101,0.343090,-1.069763,-1.069763,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000250000,0,,,,,331.292966
35,5000,vertical_wall_left,121.189890,19,3,133,0.343090,-1.069763,-1.069763,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000250000,0,,,,,331.292966
36,5000,four_corner,274.121258,40,0,2101,0.343090,-1.069763,-1.069763,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000250000,0,,,,,331.292966
37,5000,vertical_wall_left,121.662534,19,3,242,0.343090,-1.069763,-1.069763,0.000000,1.000000,0.000000,0.000000,0.000000,0,4,0,0.000000,0.0000250000,0,,,,,331.292966
